Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
370.07,372.04998,362.39999,367.88,367.88,4627300,2019,4,4
369.0,369.79998,364.66,365.48999,365.48999,3905500,2019,4,5
365.10998,365.94,359.92999,361.41,361.41,4653800,2019,4,8
360.54,366.73999,359.0,364.70999,364.70999,5439200,2019,4,9
365.79,368.85,362.25,363.92001,363.92001,4545600,2019,4,10
365.0,370.11999,360.80999,367.64999,367.64999,6526900,2019,4,11
360.69,361.75,349.35998,351.14001,351.14001,15646200,2019,4,12
350.70999,352.20999,342.26998,348.86999,348.86999,8842300,2019,4,15
355.0,364.48001,352.72,359.45999,359.45999,18740200,2019,4,16
365.04998,368.76001,350.6,354.73999,354.73999,18054100,2019,4,17
355.0,360.41,351.64001,360.35,360.35,8353200,2019,4,18
359.70001,377.69,359.0,377.33999,377.33999,11980500,2019,4,22
375.45001,384.79998,374.70999,381.89001,381.89001,10089800,2019,4,23
381.07,381.89999,373.26998,374.23001,374.23001,6541900,2019,4,24
374.48999,374.76001,365.70001,368.32998,368.32998,6255500,2019,4,25
368.35,375.14001,366.23999,374.85,374.85,5621900,2019,4,26
373.67999,374.57998,369.11999,371.82998,371.82998,3821700,2019,4,29
369.55999,374.5,368.35,370.54,370.54,3870100,2019,4,30
374.0,385.98999,373.17001,378.80999,378.80999,9257300,2019,5,1
378.0,383.5,374.51001,379.05999,379.05999,5398200,2019,5,2
381.52999,385.02999,378.26998,385.02999,385.02999,5130300,2019,5,3
377.69,381.35,376.0,378.67001,378.67001,5793100,2019,5,6
377.0,379.91,365.80999,370.45999,370.45999,6974900,2019,5,7
367.92001,369.0,361.35998,364.36999,364.36999,6572000,2019,5,8
360.89999,364.20001,352.75,362.75,362.75,5882600,2019,5,9
361.61999,365.26001,353.05999,361.04,361.04,5657100,2019,5,10
352.29,354.26001,343.1,345.26001,345.26001,8026700,2019,5,13
348.70999,349.95001,342.5,345.60998,345.60998,5353000,2019,5,14
343.33999,356.5,341.39001,354.98999,354.98999,6340100,2019,5,15
356.36999,364.0,353.94,359.30999,359.30999,6441500,2019,5,16
356.39001,359.61999,353.79,354.45001,354.45001,4725400,2019,5,17
351.23001,352.42001,345.39999,348.10998,348.10998,4621500,2019,5,20
350.95001,356.42999,349.92999,354.26998,354.26998,4026400,2019,5,21
358.01001,370.45999,357.29998,359.73001,359.73001,6229400,2019,5,22
355.5,357.42001,347.70001,352.20999,352.20999,5630400,2019,5,23
355.41,359.44,353.79,354.39001,354.39001,3831000,2019,5,24
354.39001,361.20001,353.64999,355.05999,355.05999,4717100,2019,5,28
353.6,353.85,345.89999,349.19,349.19,5658900,2019,5,29
350.54998,354.20999,348.29998,351.85,351.85,4008000,2019,5,30
347.22,349.33999,342.92001,343.27999,343.27999,5023400,2019,5,31
343.55999,347.66,332.64999,336.63,336.63,7849600,2019,6,3
345.0,353.60998,343.25,353.39999,353.39999,7891600,2019,6,4
354.38,357.88,348.70999,355.73001,355.73001,5020100,2019,6,5
354.83999,358.20999,352.08999,357.13,357.13,3710000,2019,6,6
357.39001,365.14999,355.69,360.86999,360.86999,4777300,2019,6,7
363.64999,367.1,349.29,352.01001,352.01001,7810300,2019,6,10
355.0,357.57998,348.5,351.26998,351.26998,5396700,2019,6,11
351.82,353.60998,343.23001,345.55999,345.55999,4584700,2019,6,12
347.23001,348.5,339.25,343.42999,343.42999,6209300,2019,6,13
341.63,343.39999,336.16,339.73001,339.73001,5019000,2019,6,14
342.69,351.76998,342.05999,350.61999,350.61999,5358200,2019,6,17
355.57,361.5,353.75,357.11999,357.11999,5428500,2019,6,18
361.72,364.73999,356.11999,363.51998,363.51998,5667200,2019,6,19
365.91,370.11999,361.22,365.20999,365.20999,5899500,2019,6,20
365.0,371.45001,365.0,369.20999,369.20999,7448400,2019,6,21
370.26998,375.0,370.20001,371.04,371.04,4830200,2019,6,24
370.75,371.0,358.29,360.29998,360.29998,5750400,2019,6,25
361.6,366.79,361.6,362.20001,362.20001,3669700,2019,6,26
363.20001,370.85,363.20001,370.01998,370.01998,4138600,2019,6,27
370.26001,371.54,364.86999,367.32,367.32,4592700,2019,6,28
373.5,376.66,372.0,374.6,374.6,4992600,2019,7,1
374.89001,376.0,370.30999,375.42999,375.42999,3625000,2019,7,2
376.69,381.98999,375.83999,381.72,381.72,3799000,2019,7,3
378.29,381.39999,375.55999,380.54998,380.54998,3732200,2019,7,5
378.19,378.25,375.35998,376.16,376.16,3113400,2019,7,8
379.05999,384.76001,377.5,379.92999,379.92999,6932800,2019,7,9
382.76998,384.33999,362.67999,381.0,381.0,5878800,2019,7,10
381.1,384.54,378.79998,379.5,379.5,4336300,2019,7,11
378.67999,379.73999,372.79,373.25,373.25,6636900,2019,7,12
372.94,373.67999,362.29998,366.6,366.6,7944700,2019,7,15
370.08999,371.33999,364.92001,365.98999,365.98999,5863200,2019,7,16
366.25,366.5,361.75,362.44,362.44,13639500,2019,7,17
